"YEAR":"payroll_avg":"payroll_unit":"product_category_name":"price_avg":"price_unit":"price_value":"price_value_unit":"payroll_unit / price_unit"
2006:19536:Kč:Banány žluté:27.31:Kč:1.0:kg:715.0
2007:20947:Kč:Banány žluté:30.85:Kč:1.0:kg:679.0
2008:22592:Kč:Banány žluté:30.59:Kč:1.0:kg:739.0
2009:23353:Kč:Banány žluté:30.56:Kč:1.0:kg:764.0
2010:23858:Kč:Banány žluté:27.44:Kč:1.0:kg:869.0
2011:24452:Kč:Banány žluté:26.97:Kč:1.0:kg:907.0
2012:25063:Kč:Banány žluté:31.0:Kč:1.0:kg:808.0
2013:25031:Kč:Banány žluté:31.79:Kč:1.0:kg:787.0
2014:25760:Kč:Banány žluté:31.65:Kč:1.0:kg:814.0
2015:26582:Kč:Banány žluté:31.91:Kč:1.0:kg:833.0
2016:27756:Kč:Banány žluté:31.72:Kč:1.0:kg:875.0
2017:29626:Kč:Banány žluté:31.08:Kč:1.0:kg:953.0
2018:32043:Kč:Banány žluté:29.32:Kč:1.0:kg:1093.0
2006:19536:Kč:Cukr krystalový:21.73:Kč:1.0:kg:899.0
2007:20947:Kč:Cukr krystalový:21.92:Kč:1.0:kg:956.0
2008:22592:Kč:Cukr krystalový:21.1:Kč:1.0:kg:1071.0
2009:23353:Kč:Cukr krystalový:19.81:Kč:1.0:kg:1179.0
2010:23858:Kč:Cukr krystalový:18.27:Kč:1.0:kg:1306.0
2011:24452:Kč:Cukr krystalový:22.45:Kč:1.0:kg:1089.0
2012:25063:Kč:Cukr krystalový:24.27:Kč:1.0:kg:1033.0
2013:25031:Kč:Cukr krystalový:24.16:Kč:1.0:kg:1036.0
2014:25760:Kč:Cukr krystalový:22.02:Kč:1.0:kg:1170.0
2015:26582:Kč:Cukr krystalový:17.8:Kč:1.0:kg:1493.0
2016:27756:Kč:Cukr krystalový:17.59:Kč:1.0:kg:1578.0
2017:29626:Kč:Cukr krystalový:19.96:Kč:1.0:kg:1484.0
2018:32043:Kč:Cukr krystalový:15.75:Kč:1.0:kg:2034.0
2006:19536:Kč:Eidamská cihla:110.95:Kč:1.0:kg:176.0
2007:20947:Kč:Eidamská cihla:122.68:Kč:1.0:kg:171.0
2008:22592:Kč:Eidamská cihla:135.28:Kč:1.0:kg:167.0
2009:23353:Kč:Eidamská cihla:111.67:Kč:1.0:kg:209.0
2010:23858:Kč:Eidamská cihla:119.95:Kč:1.0:kg:199.0
2011:24452:Kč:Eidamská cihla:122.38:Kč:1.0:kg:200.0
2012:25063:Kč:Eidamská cihla:128.08:Kč:1.0:kg:196.0
2013:25031:Kč:Eidamská cihla:141.97:Kč:1.0:kg:176.0
2014:25760:Kč:Eidamská cihla:150.61:Kč:1.0:kg:171.0
2015:26582:Kč:Eidamská cihla:119.39:Kč:1.0:kg:223.0
2016:27756:Kč:Eidamská cihla:110.9:Kč:1.0:kg:250.0
2017:29626:Kč:Eidamská cihla:142.58:Kč:1.0:kg:208.0
2018:32043:Kč:Eidamská cihla:142.45:Kč:1.0:kg:225.0
2006:19536:Kč:Hovězí maso zadní bez kosti:166.34:Kč:1.0:kg:117.0
2007:20947:Kč:Hovězí maso zadní bez kosti:169.46:Kč:1.0:kg:124.0
2008:22592:Kč:Hovězí maso zadní bez kosti:175.55:Kč:1.0:kg:129.0
2009:23353:Kč:Hovězí maso zadní bez kosti:179.01:Kč:1.0:kg:130.0
2010:23858:Kč:Hovězí maso zadní bez kosti:176.15:Kč:1.0:kg:135.0
2011:24452:Kč:Hovězí maso zadní bez kosti:180.73:Kč:1.0:kg:135.0
2012:25063:Kč:Hovězí maso zadní bez kosti:200.81:Kč:1.0:kg:125.0
2013:25031:Kč:Hovězí maso zadní bez kosti:207.19:Kč:1.0:kg:121.0
2014:25760:Kč:Hovězí maso zadní bez kosti:204.95:Kč:1.0:kg:126.0
2015:26582:Kč:Hovězí maso zadní bez kosti:203.09:Kč:1.0:kg:131.0
2016:27756:Kč:Hovězí maso zadní bez kosti:206.02:Kč:1.0:kg:135.0
2017:29626:Kč:Hovězí maso zadní bez kosti:218.27:Kč:1.0:kg:136.0
2018:32043:Kč:Hovězí maso zadní bez kosti:223.26:Kč:1.0:kg:144.0
2006:19536:Kč:Chléb konzumní kmínový:16.12:Kč:1.0:kg:1212.0
2007:20947:Kč:Chléb konzumní kmínový:18.85:Kč:1.0:kg:1111.0
2008:22592:Kč:Chléb konzumní kmínový:22.88:Kč:1.0:kg:987.0
2009:23353:Kč:Chléb konzumní kmínový:19.58:Kč:1.0:kg:1193.0
2010:23858:Kč:Chléb konzumní kmínový:18.39:Kč:1.0:kg:1297.0
2011:24452:Kč:Chléb konzumní kmínový:21.63:Kč:1.0:kg:1130.0
2012:25063:Kč:Chléb konzumní kmínový:22.91:Kč:1.0:kg:1094.0
2013:25031:Kč:Chléb konzumní kmínový:23.12:Kč:1.0:kg:1083.0
2014:25760:Kč:Chléb konzumní kmínový:23.0:Kč:1.0:kg:1120.0
2015:26582:Kč:Chléb konzumní kmínový:22.45:Kč:1.0:kg:1184.0
2016:27756:Kč:Chléb konzumní kmínový:21.77:Kč:1.0:kg:1275.0
2017:29626:Kč:Chléb konzumní kmínový:24.17:Kč:1.0:kg:1226.0
2018:32043:Kč:Chléb konzumní kmínový:24.24:Kč:1.0:kg:1322.0
2006:19536:Kč:Jablka konzumní:30.71:Kč:1.0:kg:636.0
2007:20947:Kč:Jablka konzumní:28.49:Kč:1.0:kg:735.0
2008:22592:Kč:Jablka konzumní:33.19:Kč:1.0:kg:681.0
2009:23353:Kč:Jablka konzumní:25.85:Kč:1.0:kg:903.0
2010:23858:Kč:Jablka konzumní:25.28:Kč:1.0:kg:944.0
2011:24452:Kč:Jablka konzumní:29.17:Kč:1.0:kg:838.0
2012:25063:Kč:Jablka konzumní:31.0:Kč:1.0:kg:808.0
