"GDP_year":"GDP":"GDP_unit"
2000:152688350008.684:USD
2001:157334620713.224:USD
2002:159804546639.628:USD
2003:165531443734.197:USD
2004:173500559474.731:USD
2005:184954402823.471:USD
2006:197470142753.551:USD
2007:208469898850.69:USD
2008:214070259127.502:USD
2009:204100298391.036:USD
2010:209069940963.177:USD
2011:212750323790.759:USD
2012:211080224602.858:USD
2013:210983331025.624:USD
2014:215755991069.112:USD
2015:227381745549.048:USD
2016:233151067380.883:USD
2017:245202003265.939:USD
2018:253045172103.95:USD
2019:258899638367.936:USD
2020:244395294183.036:USD
