"product_category_name":"price_year":"name":"price_avg":"price_unit":"price_value":"price_value_unit"
Rýže loupaná dlouhozrnná:2010:Ústecký kraj:33.65:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2010:Liberecký kraj:36.22:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2010:Královéhradecký kraj:34.25:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2010:Pardubický kraj:33.73:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2010:Kraj Vysočina:30.42:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2010:Jihomoravský kraj:33.68:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2010:Olomoucký kraj:36.23:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2010:Zlínský kraj:30.01:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2010:Moravskoslezský kraj:35.86:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Hlavní město Praha:30.15:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Středočeský kraj:35.46:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Jihočeský kraj:36.01:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Plzeňský kraj:32.33:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Karlovarský kraj:32.33:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Ústecký kraj:33.59:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Liberecký kraj:36.15:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Královéhradecký kraj:34.41:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Pardubický kraj:34.42:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Kraj Vysočina:30.05:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Jihomoravský kraj:32.59:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Olomoucký kraj:35.59:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Zlínský kraj:29.23:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2011:Moravskoslezský kraj:34.39:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Hlavní město Praha:31.0:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Středočeský kraj:36.96:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Jihočeský kraj:31.99:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Plzeňský kraj:33.43:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Karlovarský kraj:32.47:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Ústecký kraj:34.55:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Liberecký kraj:37.1:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Královéhradecký kraj:32.22:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Pardubický kraj:35.6:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Kraj Vysočina:32.12:Kč:1.0:kg
Rýže loupaná dlouhozrnná:2012:Jihomoravský kraj:35.52:Kč:1.0:kg
